Netzbetreiber:;;Energienetze Berlin GmbH;;;;;;
Lastgangtyp:;;Netzlast (Summe aller Entnahmen Kunden, Weiterverteiler, nachgelagerte Spannungsebene);;;;;;
gesetzliche Grundlage:;;§ 23c Abs. 3 Nr. 1 EnWG;;;;;;
Betrachtungszeitraum:;;01.01.2024 bis 31.12.2024;;;;;;
;;;;;;;;
Spannungsebene;;Umspannung HS/MS;Mittelspannung;Umspannung MS/NS;Niederspannung;;;
;;;;;;;;
Höchstlast;[kW];20.055;21.412;8.820;11.204;;;
Wirkarbeit;[kWh];34.605.722;101.510.339;38.079.068;46.405.837;;;
;;;;;;;;
Datum;Zeit;Wert [kW];Wert [kW];Wert [kW];Wert [kW];;;
01.01.2024;00:15:00;0;7.752;3.052;3.273;;;
01.01.2024;00:30:00;0;7.551;3.114;3.341;;;
01.01.2024;00:45:00;0;7.709;3.276;3.499;;;
01.01.2024;01:00:00;0;7.660;3.076;3.296;;;
01.01.2024;01:15:00;0;7.800;3.308;3.531;;;
01.01.2024;01:30:00;0;7.600;3.002;3.226;;;
01.01.2024;01:45:00;0;7.640;3.212;3.435;;;
01.01.2024;02:00:00;0;7.611;3.156;3.378;;;
01.01.2024;02:15:00;0;7.632;3.036;3.254;;;
01.01.2024;02:30:00;0;7.560;3.144;3.365;;;
01.01.2024;02:45:00;0;7.625;3.241;3.461;;;
01.01.2024;03:00:00;0;7.698;3.148;3.365;;;
01.01.2024;03:15:00;0;7.755;3.259;3.479;;;
01.01.2024;03:30:00;0;7.693;3.228;3.447;;;
01.01.2024;03:45:00;0;7.743;3.046;3.255;;;
01.01.2024;04:00:00;0;7.723;3.240;3.455;;;
01.01.2024;04:15:00;0;7.860;3.233;3.449;;;
01.01.2024;04:30:00;0;7.777;3.064;3.274;;;
01.01.2024;04:45:00;0;7.868;3.278;3.489;;;
01.01.2024;05:00:00;0;7.883;3.035;3.239;;;
01.01.2024;05:15:00;0;7.950;3.353;3.564;;;
01.01.2024;05:30:00;0;7.884;3.241;3.447;;;
01.01.2024;05:45:00;22,999;7.998;3.146;3.344;;;
01.01.2024;06:00:00;0;7.859;3.151;3.357;;;
01.01.2024;06:15:00;66,997;7.958;3.322;3.527;;;
01.01.2024;06:30:00;198,981;8.087;3.239;3.440;;;
01.01.2024;06:45:00;176,984;8.092;3.400;3.602;;;
01.01.2024;07:00:00;198,981;8.046;3.390;3.594;;;
01.01.2024;07:15:00;154,988;8.071;3.201;3.403;;;
01.01.2024;07:30:00;264,967;8.099;3.421;3.627;;;
01.01.2024;07:45:00;330,95;8.244;3.550;3.754;;;
01.01.2024;08:00:00;286,962;8.141;3.252;3.454;;;
01.01.2024;08:15:00;243;8.170;3.513;3.722;;;
01.01.2024;08:30:00;132,991;8.065;3.246;3.455;;;
01.01.2024;08:45:00;110,993;7.983;3.343;3.565;;;
01.01.2024;09:00:00;0;7.911;3.334;3.571;;;
01.01.2024;09:15:00;22,999;7.970;3.162;3.408;;;
01.01.2024;09:30:00;1;7.881;3.345;3.628;;;
01.01.2024;09:45:00;0;7.893;3.361;3.655;;;
01.01.2024;10:00:00;0;7.867;3.109;3.414;;;
01.01.2024;10:15:00;22,999;7.970;3.242;3.606;;;
01.01.2024;10:30:00;1;7.880;3.063;3.412;;;
01.01.2024;10:45:00;176,984;8.133;3.398;3.695;;;
01.01.2024;11:00:00;198,981;8.156;3.457;3.731;;;
01.01.2024;11:15:00;242,972;8.137;3.429;3.698;;;
01.01.2024;11:30:00;154,988;8.131;3.256;3.550;;;
01.01.2024;11:45:00;242,972;8.143;3.439;3.726;;;
01.01.2024;12:00:00;242,972;8.209;3.375;3.634;;;
01.01.2024;12:15:00;220,977;8.180;3.522;3.787;;;
01.01.2024;12:30:00;198,981;8.090;3.413;3.698;;;
01.01.2024;12:45:00;264,967;8.225;3.272;3.554;;;
01.01.2024;13:00:00;132,991;8.092;3.477;3.747;;;
01.01.2024;13:15:00;308,956;8.201;3.422;3.706;;;
01.01.2024;13:30:00;220,977;8.184;3.270;3.572;;;
01.01.2024;13:45:00;154,988;8.109;3.434;3.742;;;
01.01.2024;14:00:00;154,988;8.044;3.212;3.507;;;
01.01.2024;14:15:00;265;8.230;3.559;3.843;;;
01.01.2024;14:30:00;154,988;8.098;3.498;3.767;;;
01.01.2024;14:45:00;264,967;8.208;3.558;3.817;;;
01.01.2024;15:00:00;220,977;8.168;3.366;3.623;;;
01.01.2024;15:15:00;220,977;8.098;3.429;3.688;;;
01.01.2024;15:30:00;286,962;8.246;3.402;3.653;;;
01.01.2024;15:45:00;286,962;8.242;3.600;3.843;;;
01.01.2024;16:00:00;242,972;8.211;3.396;3.630;;;
01.01.2024;16:15:00;440,915;8.413;3.650;3.895;;;
01.01.2024;16:30:00;506,888;8.546;3.687;3.936;;;
01.01.2024;16:45:00;506,888;8.547;3.624;3.868;;;
01.01.2024;17:00:00;220,977;8.409;3.513;3.764;;;
01.01.2024;17:15:00;286,962;8.420;3.664;3.922;;;
01.01.2024;17:30:00;330,95;8.451;3.527;3.787;;;
01.01.2024;17:45:00;198,981;8.322;3.617;3.875;;;
01.01.2024;18:00:00;242,972;8.446;3.622;3.875;;;
01.01.2024;18:15:00;88,995;8.210;3.389;3.642;;;
01.01.2024;18:30:00;110,993;8.237;3.639;3.907;;;
01.01.2024;18:45:00;88,995;8.281;3.604;3.864;;;
01.01.2024;19:00:00;198,981;8.318;3.470;3.723;;;
01.01.2024;19:15:00;132,991;8.244;3.602;3.866;;;
01.01.2024;19:30:00;22,999;8.134;3.320;3.577;;;
01.01.2024;19:45:00;1;8.095;3.457;3.711;;;
01.01.2024;20:00:00;1;8.097;3.446;3.705;;;
01.01.2024;20:15:00;0;8.072;3.441;3.707;;;
01.01.2024;20:30:00;0;8.005;3.285;3.534;;;
01.01.2024;20:45:00;0;8.049;3.429;3.679;;;
01.01.2024;21:00:00;0;7.913;3.228;3.477;;;
01.01.2024;21:15:00;0;7.843;3.353;3.601;;;
01.01.2024;21:30:00;0;7.890;3.266;3.510;;;
01.01.2024;21:45:00;0;7.935;3.359;3.606;;;
01.01.2024;22:00:00;0;7.855;3.337;3.580;;;
01.01.2024;22:15:00;0;7.933;3.287;3.523;;;
01.01.2024;22:30:00;0;7.896;3.106;3.338;;;
01.01.2024;22:45:00;0;8.027;3.370;3.598;;;
