Netzbetreiber:;;Energienetze Berlin GmbH
Lastgangtyp:;;Summenlast Netzverluste über alle Spannungsebenen
gesetzliche Grundlage:;;§23c Abs.3 Nr.3 EnWG
Betrachtungszeitraum:;;01.01.2024 bis 31.12.2024
;;
Höchstlast;[kW];845,518
Wirkarbeit;[kWh];3.669.467
;;
Datum;Zeit;Wert [kW]
01.01.2024;00:15:00;174,999
01.01.2024;00:30:00;167,892
01.01.2024;00:45:00;169,49
01.01.2024;01:00:00;171,763
01.01.2024;01:15:00;170,529
01.01.2024;01:30:00;172,012
01.01.2024;01:45:00;169,395
01.01.2024;02:00:00;169,132
01.01.2024;02:15:00;172,082
01.01.2024;02:30:00;168,549
01.01.2024;02:45:00;167,88
01.01.2024;03:00:00;172,099
01.01.2024;03:15:00;170,64
01.01.2024;03:30:00;170,067
01.01.2024;03:45:00;175,69
01.01.2024;04:00:00;171,262
01.01.2024;04:15:00;174,028
01.01.2024;04:30:00;175,685
01.01.2024;04:45:00;173,672
01.01.2024;05:00:00;178,544
01.01.2024;05:15:00;173,958
01.01.2024;05:30:00;173,982
01.01.2024;05:45:00;179,418
01.01.2024;06:00:00;175,299
01.01.2024;06:15:00;174,411
01.01.2024;06:30:00;180,298
01.01.2024;06:45:00;177,037
01.01.2024;07:00:00;175,765
01.01.2024;07:15:00;180,554
01.01.2024;07:30:00;176,835
01.01.2024;07:45:00;178,721
01.01.2024;08:00:00;181,744
01.01.2024;08:15:00;177,111
01.01.2024;08:30:00;179,35
01.01.2024;08:45:00;174,686
01.01.2024;09:00:00;172,801
01.01.2024;09:15:00;178,062
01.01.2024;09:30:00;171,385
01.01.2024;09:45:00;171,821
01.01.2024;10:00:00;176,006
01.01.2024;10:15:00;176,288
01.01.2024;10:30:00;177,175
01.01.2024;10:45:00;178,107
01.01.2024;11:00:00;177,548
01.01.2024;11:15:00;177,443
01.01.2024;11:30:00;180,854
01.01.2024;11:45:00;177,455
01.01.2024;12:00:00;180,905
01.01.2024;12:15:00;176,909
01.01.2024;12:30:00;176,298
01.01.2024;12:45:00;183,657
01.01.2024;13:00:00;175,082
01.01.2024;13:15:00;179,688
01.01.2024;13:30:00;182,347
01.01.2024;13:45:00;176,558
01.01.2024;14:00:00;179,159
01.01.2024;14:15:00;177,773
01.01.2024;14:30:00;174,872
01.01.2024;14:45:00;177,059
01.01.2024;15:00:00;179,856
01.01.2024;15:15:00;176,27
01.01.2024;15:30:00;181,569
01.01.2024;15:45:00;177,247
01.01.2024;16:00:00;180,543
01.01.2024;16:15:00;181,582
01.01.2024;16:30:00;185,132
01.01.2024;16:45:00;186,554
01.01.2024;17:00:00;184,318
01.01.2024;17:15:00;181,317
01.01.2024;17:30:00;185,243
01.01.2024;17:45:00;179,217
01.01.2024;18:00:00;183,042
01.01.2024;18:15:00;180,428
01.01.2024;18:30:00;176,013
01.01.2024;18:45:00;178,111
01.01.2024;19:00:00;182,166
01.01.2024;19:15:00;176,998
01.01.2024;19:30:00;179,44
01.01.2024;19:45:00;175,33
01.01.2024;20:00:00;175,637
01.01.2024;20:15:00;175,192
01.01.2024;20:30:00;177,116
01.01.2024;20:45:00;176,471
01.01.2024;21:00:00;178,565
01.01.2024;21:15:00;173,943
01.01.2024;21:30:00;176,581
01.01.2024;21:45:00;175,612
01.01.2024;22:00:00;174,554
01.01.2024;22:15:00;177,4
01.01.2024;22:30:00;181,503
01.01.2024;22:45:00;177,99
01.01.2024;23:00:00;180,895
01.01.2024;23:15:00;177,6
01.01.2024;23:30:00;180,618
01.01.2024;23:45:00;174,876
02.01.2024;00:00:00;183,529
02.01.2024;00:15:00;233,555
02.01.2024;00:30:00;234,406
02.01.2024;00:45:00;233,314
02.01.2024;01:00:00;235,364
02.01.2024;01:15:00;233,437
02.01.2024;01:30:00;233,174
02.01.2024;01:45:00;233,194
02.01.2024;02:00:00;234,455
02.01.2024;02:15:00;232,232
02.01.2024;02:30:00;234,62
02.01.2024;02:45:00;232,763
02.01.2024;03:00:00;238,703
02.01.2024;03:15:00;310,794
02.01.2024;03:30:00;314,514
02.01.2024;03:45:00;314,324
02.01.2024;04:00:00;317,16
02.01.2024;04:15:00;410,169
02.01.2024;04:30:00;415,305
02.01.2024;04:45:00;416,14
02.01.2024;05:00:00;427,432
02.01.2024;05:15:00;586,986
02.01.2024;05:30:00;590,775
02.01.2024;05:45:00;591,832
02.01.2024;06:00:00;599,208
02.01.2024;06:15:00;772,93
02.01.2024;06:30:00;787,97
02.01.2024;06:45:00;786,914
02.01.2024;07:00:00;785,663
02.01.2024;07:15:00;799,206
02.01.2024;07:30:00;799,645
02.01.2024;07:45:00;796,797
02.01.2024;08:00:00;796,585
02.01.2024;08:15:00;805,532
02.01.2024;08:30:00;807,453
02.01.2024;08:45:00;802,308
02.01.2024;09:00:00;806,965
02.01.2024;09:15:00;804,057
02.01.2024;09:30:00;803,394
02.01.2024;09:45:00;805,197
02.01.2024;10:00:00;806,108
02.01.2024;10:15:00;808,338
02.01.2024;10:30:00;796,356
