Netzbetreiber:;;Energienetze Berlin GmbH
Lastgangtyp:;;Summenlast nicht leistungsgemessener Kunden
gesetzliche Grundlage:;;§ 23c Abs.3 Nr.3 EnWG
Betrachtungszeitraum:;;01.01.2024 bis 31.12.2024
;;
Netz- oder Umspannebene:;;Niederspannung
Höchstlast;[kW];5.118
Wirkarbeit;[kWh];24.197.687
;;
Datum;Zeit;Wert [kW]
01.01.2024;00:15:00;2.127
01.01.2024;00:30:00;2.231
01.01.2024;00:45:00;2.334
01.01.2024;01:00:00;2.078
01.01.2024;01:15:00;2.389
01.01.2024;01:30:00;2.076
01.01.2024;01:45:00;2.301
01.01.2024;02:00:00;2.225
01.01.2024;02:15:00;2.121
01.01.2024;02:30:00;2.234
01.01.2024;02:45:00;2.284
01.01.2024;03:00:00;2.169
01.01.2024;03:15:00;2.188
01.01.2024;03:30:00;2.246
01.01.2024;03:45:00;2.094
01.01.2024;04:00:00;2.299
01.01.2024;04:15:00;2.262
01.01.2024;04:30:00;2.058
01.01.2024;04:45:00;2.289
01.01.2024;05:00:00;2.011
01.01.2024;05:15:00;2.319
01.01.2024;05:30:00;2.199
01.01.2024;05:45:00;2.152
01.01.2024;06:00:00;2.196
01.01.2024;06:15:00;2.336
01.01.2024;06:30:00;2.212
01.01.2024;06:45:00;2.410
01.01.2024;07:00:00;2.313
01.01.2024;07:15:00;2.173
01.01.2024;07:30:00;2.387
01.01.2024;07:45:00;2.450
01.01.2024;08:00:00;2.184
01.01.2024;08:15:00;2.420
01.01.2024;08:30:00;2.170
01.01.2024;08:45:00;2.326
01.01.2024;09:00:00;2.336
01.01.2024;09:15:00;2.161
01.01.2024;09:30:00;2.363
01.01.2024;09:45:00;2.404
01.01.2024;10:00:00;2.165
01.01.2024;10:15:00;2.406
01.01.2024;10:30:00;2.197
01.01.2024;10:45:00;2.425
01.01.2024;11:00:00;2.479
01.01.2024;11:15:00;2.478
01.01.2024;11:30:00;2.328
01.01.2024;11:45:00;2.454
01.01.2024;12:00:00;2.317
01.01.2024;12:15:00;2.550
01.01.2024;12:30:00;2.478
01.01.2024;12:45:00;2.304
01.01.2024;13:00:00;2.485
01.01.2024;13:15:00;2.477
01.01.2024;13:30:00;2.346
01.01.2024;13:45:00;2.521
01.01.2024;14:00:00;2.292
01.01.2024;14:15:00;2.526
01.01.2024;14:30:00;2.514
01.01.2024;14:45:00;2.584
01.01.2024;15:00:00;2.413
01.01.2024;15:15:00;2.447
01.01.2024;15:30:00;2.378
01.01.2024;15:45:00;2.581
01.01.2024;16:00:00;2.375
01.01.2024;16:15:00;2.570
01.01.2024;16:30:00;2.655
01.01.2024;16:45:00;2.591
01.01.2024;17:00:00;2.548
01.01.2024;17:15:00;2.704
01.01.2024;17:30:00;2.539
01.01.2024;17:45:00;2.645
01.01.2024;18:00:00;2.656
01.01.2024;18:15:00;2.467
01.01.2024;18:30:00;2.629
01.01.2024;18:45:00;2.666
01.01.2024;19:00:00;2.514
01.01.2024;19:15:00;2.676
01.01.2024;19:30:00;2.432
01.01.2024;19:45:00;2.552
01.01.2024;20:00:00;2.541
01.01.2024;20:15:00;2.503
01.01.2024;20:30:00;2.327
01.01.2024;20:45:00;2.497
01.01.2024;21:00:00;2.349
01.01.2024;21:15:00;2.448
01.01.2024;21:30:00;2.300
01.01.2024;21:45:00;2.452
01.01.2024;22:00:00;2.444
01.01.2024;22:15:00;2.342
01.01.2024;22:30:00;2.209
01.01.2024;22:45:00;2.384
01.01.2024;23:00:00;2.105
01.01.2024;23:15:00;2.360
01.01.2024;23:30:00;2.062
01.01.2024;23:45:00;2.353
02.01.2024;00:00:00;2.191
02.01.2024;00:15:00;2.307
02.01.2024;00:30:00;2.233
02.01.2024;00:45:00;2.155
02.01.2024;01:00:00;2.220
02.01.2024;01:15:00;2.136
02.01.2024;01:30:00;2.203
02.01.2024;01:45:00;2.132
02.01.2024;02:00:00;2.229
02.01.2024;02:15:00;2.147
02.01.2024;02:30:00;2.307
02.01.2024;02:45:00;2.159
02.01.2024;03:00:00;2.291
02.01.2024;03:15:00;2.108
02.01.2024;03:30:00;2.140
02.01.2024;03:45:00;2.112
02.01.2024;04:00:00;2.145
02.01.2024;04:15:00;2.116
02.01.2024;04:30:00;2.220
02.01.2024;04:45:00;2.221
02.01.2024;05:00:00;2.155
02.01.2024;05:15:00;2.117
02.01.2024;05:30:00;2.073
02.01.2024;05:45:00;2.318
02.01.2024;06:00:00;2.283
02.01.2024;06:15:00;2.414
02.01.2024;06:30:00;2.415
02.01.2024;06:45:00;2.558
02.01.2024;07:00:00;2.704
02.01.2024;07:15:00;2.888
02.01.2024;07:30:00;2.925
02.01.2024;07:45:00;3.142
02.01.2024;08:00:00;3.253
02.01.2024;08:15:00;3.376
02.01.2024;08:30:00;3.479
02.01.2024;08:45:00;3.528
02.01.2024;09:00:00;3.629
02.01.2024;09:15:00;3.710
02.01.2024;09:30:00;3.778
02.01.2024;09:45:00;3.927
02.01.2024;10:00:00;3.897
02.01.2024;10:15:00;4.091
02.01.2024;10:30:00;4.056
02.01.2024;10:45:00;4.066
02.01.2024;11:00:00;3.962
02.01.2024;11:15:00;3.850
02.01.2024;11:30:00;3.754
02.01.2024;11:45:00;3.856
02.01.2024;12:00:00;3.798
02.01.2024;12:15:00;3.874
02.01.2024;12:30:00;3.930
02.01.2024;12:45:00;3.825
02.01.2024;13:00:00;3.920
02.01.2024;13:15:00;3.827
02.01.2024;13:30:00;3.927
02.01.2024;13:45:00;3.730
02.01.2024;14:00:00;3.753
02.01.2024;14:15:00;3.765
02.01.2024;14:30:00;3.732
02.01.2024;14:45:00;3.695
02.01.2024;15:00:00;3.728
02.01.2024;15:15:00;3.584
02.01.2024;15:30:00;3.676
02.01.2024;15:45:00;3.604
02.01.2024;16:00:00;3.464
02.01.2024;16:15:00;3.541
02.01.2024;16:30:00;3.457
02.01.2024;16:45:00;3.531
02.01.2024;17:00:00;3.330
02.01.2024;17:15:00;3.321
02.01.2024;17:30:00;3.179
02.01.2024;17:45:00;3.143
02.01.2024;18:00:00;3.135
02.01.2024;18:15:00;2.960
02.01.2024;18:30:00;2.892
02.01.2024;18:45:00;2.900
02.01.2024;19:00:00;2.890
02.01.2024;19:15:00;2.791
02.01.2024;19:30:00;2.781
02.01.2024;19:45:00;2.680
02.01.2024;20:00:00;2.702
02.01.2024;20:15:00;2.616
02.01.2024;20:30:00;2.474
02.01.2024;20:45:00;2.280
02.01.2024;21:00:00;2.424
02.01.2024;21:15:00;2.323
02.01.2024;21:30:00;2.284
02.01.2024;21:45:00;2.168
02.01.2024;22:00:00;2.335
02.01.2024;22:15:00;2.187
02.01.2024;22:30:00;2.159
02.01.2024;22:45:00;2.250
02.01.2024;23:00:00;1.999
02.01.2024;23:15:00;2.188
02.01.2024;23:30:00;2.141
02.01.2024;23:45:00;2.161
03.01.2024;00:00:00;2.230
03.01.2024;00:15:00;2.430
03.01.2024;00:30:00;2.219
03.01.2024;00:45:00;2.332
03.01.2024;01:00:00;2.396
03.01.2024;01:15:00;2.313
03.01.2024;01:30:00;2.304
03.01.2024;01:45:00;2.368
03.01.2024;02:00:00;2.352
03.01.2024;02:15:00;2.348
03.01.2024;02:30:00;2.280
03.01.2024;02:45:00;2.310
03.01.2024;03:00:00;2.382
03.01.2024;03:15:00;2.379
03.01.2024;03:30:00;2.349
03.01.2024;03:45:00;2.303
03.01.2024;04:00:00;2.326
03.01.2024;04:15:00;2.398
03.01.2024;04:30:00;2.381
03.01.2024;04:45:00;2.409
03.01.2024;05:00:00;2.364
03.01.2024;05:15:00;2.454
03.01.2024;05:30:00;2.600
03.01.2024;05:45:00;2.406
03.01.2024;06:00:00;2.672
03.01.2024;06:15:00;2.719
03.01.2024;06:30:00;2.786
03.01.2024;06:45:00;3.081
03.01.2024;07:00:00;3.114
03.01.2024;07:15:00;3.176
03.01.2024;07:30:00;3.341
03.01.2024;07:45:00;3.603
03.01.2024;08:00:00;3.690
03.01.2024;08:15:00;3.600
03.01.2024;08:30:00;3.577
03.01.2024;08:45:00;3.829
03.01.2024;09:00:00;3.887
03.01.2024;09:15:00;3.981
03.01.2024;09:30:00;4.035
03.01.2024;09:45:00;3.959
03.01.2024;10:00:00;4.175
03.01.2024;10:15:00;4.190
03.01.2024;10:30:00;4.060
03.01.2024;10:45:00;3.961
03.01.2024;11:00:00;3.988
03.01.2024;11:15:00;4.076
03.01.2024;11:30:00;4.216
03.01.2024;11:45:00;4.102
03.01.2024;12:00:00;4.179
03.01.2024;12:15:00;4.296
03.01.2024;12:30:00;4.330
03.01.2024;12:45:00;4.186
03.01.2024;13:00:00;4.164
03.01.2024;13:15:00;4.158
03.01.2024;13:30:00;4.086
03.01.2024;13:45:00;4.129
03.01.2024;14:00:00;4.092
03.01.2024;14:15:00;3.977
03.01.2024;14:30:00;3.864
03.01.2024;14:45:00;3.943
03.01.2024;15:00:00;3.884
03.01.2024;15:15:00;3.890
03.01.2024;15:30:00;3.818
03.01.2024;15:45:00;3.783
03.01.2024;16:00:00;3.798
03.01.2024;16:15:00;3.745
03.01.2024;16:30:00;3.685
03.01.2024;16:45:00;3.520
03.01.2024;17:00:00;3.762
03.01.2024;17:15:00;3.372
03.01.2024;17:30:00;3.393
03.01.2024;17:45:00;3.416
03.01.2024;18:00:00;3.249
03.01.2024;18:15:00;3.205
03.01.2024;18:30:00;3.082
03.01.2024;18:45:00;2.972
03.01.2024;19:00:00;2.986
03.01.2024;19:15:00;2.879
03.01.2024;19:30:00;2.858
03.01.2024;19:45:00;2.645
03.01.2024;20:00:00;2.730
03.01.2024;20:15:00;2.692
03.01.2024;20:30:00;2.555
03.01.2024;20:45:00;2.572
03.01.2024;21:00:00;2.473
03.01.2024;21:15:00;2.471
03.01.2024;21:30:00;2.507
03.01.2024;21:45:00;2.424
03.01.2024;22:00:00;2.416
03.01.2024;22:15:00;2.346
03.01.2024;22:30:00;2.518
03.01.2024;22:45:00;2.258
03.01.2024;23:00:00;2.311
03.01.2024;23:15:00;2.437
03.01.2024;23:30:00;2.297
03.01.2024;23:45:00;2.298
04.01.2024;00:00:00;2.315
04.01.2024;00:15:00;2.366
04.01.2024;00:30:00;2.420
04.01.2024;00:45:00;2.355
04.01.2024;01:00:00;2.368
04.01.2024;01:15:00;2.328
04.01.2024;01:30:00;2.296
04.01.2024;01:45:00;2.329
04.01.2024;02:00:00;2.344
04.01.2024;02:15:00;2.357
04.01.2024;02:30:00;2.301
04.01.2024;02:45:00;2.305
04.01.2024;03:00:00;2.357
04.01.2024;03:15:00;2.337
04.01.2024;03:30:00;2.320
04.01.2024;03:45:00;2.218
04.01.2024;04:00:00;2.355
04.01.2024;04:15:00;2.434
04.01.2024;04:30:00;2.285
04.01.2024;04:45:00;2.452
04.01.2024;05:00:00;2.373
04.01.2024;05:15:00;2.457
04.01.2024;05:30:00;2.504
04.01.2024;05:45:00;2.457
04.01.2024;06:00:00;2.548
04.01.2024;06:15:00;2.640
04.01.2024;06:30:00;2.721
04.01.2024;06:45:00;2.862
04.01.2024;07:00:00;2.972
04.01.2024;07:15:00;3.205
04.01.2024;07:30:00;3.259
04.01.2024;07:45:00;3.342
04.01.2024;08:00:00;3.433
04.01.2024;08:15:00;3.644
04.01.2024;08:30:00;3.684
04.01.2024;08:45:00;3.763
04.01.2024;09:00:00;3.944
04.01.2024;09:15:00;4.076
04.01.2024;09:30:00;4.177
04.01.2024;09:45:00;4.040
04.01.2024;10:00:00;4.213
04.01.2024;10:15:00;4.320
04.01.2024;10:30:00;4.308
