Netzbetreiber:;;Energienetze Berlin GmbH
Lastgangtyp:;;Summenlast der Fahrplanprognosen für Lastprofilkunden
gesetzliche Grundlage:;;§ 23c Abs.2 Nr.4 EnWG
Betrachtungszeitraum:;;01.01.2024 bis 31.12.2024
;;
Spannungsebene;;Niederspannung
Höchstlast;[kW];7.040
Wirkarbeit;[kWh];25.205.741
;;
Datum;Zeit;Wert [kW]
01.01.2024;00:15:00;1.407
01.01.2024;00:30:00;1.354
01.01.2024;00:45:00;1.304
01.01.2024;01:00:00;1.261
01.01.2024;01:15:00;1.224
01.01.2024;01:30:00;1.192
01.01.2024;01:45:00;1.162
01.01.2024;02:00:00;1.132
01.01.2024;02:15:00;1.098
01.01.2024;02:30:00;1.064
01.01.2024;02:45:00;1.033
01.01.2024;03:00:00;1.009
01.01.2024;03:15:00;993,028
01.01.2024;03:30:00;984,185
01.01.2024;03:45:00;978,347
01.01.2024;04:00:00;973,364
01.01.2024;04:15:00;968,938
01.01.2024;04:30:00;964,584
01.01.2024;04:45:00;963,724
01.01.2024;05:00:00;968,533
01.01.2024;05:15:00;983,389
01.01.2024;05:30:00;1.004
01.01.2024;05:45:00;1.028
01.01.2024;06:00:00;1.056
01.01.2024;06:15:00;1.084
01.01.2024;06:30:00;1.109
01.01.2024;06:45:00;1.131
01.01.2024;07:00:00;1.147
01.01.2024;07:15:00;1.156
01.01.2024;07:30:00;1.161
01.01.2024;07:45:00;1.166
01.01.2024;08:00:00;1.163
01.01.2024;08:15:00;1.157
01.01.2024;08:30:00;1.186
01.01.2024;08:45:00;1.225
01.01.2024;09:00:00;1.274
01.01.2024;09:15:00;1.336
01.01.2024;09:30:00;1.402
01.01.2024;09:45:00;1.472
01.01.2024;10:00:00;1.540
01.01.2024;10:15:00;1.601
01.01.2024;10:30:00;1.657
01.01.2024;10:45:00;1.687
01.01.2024;11:00:00;1.737
01.01.2024;11:15:00;1.787
01.01.2024;11:30:00;1.832
01.01.2024;11:45:00;1.871
01.01.2024;12:00:00;1.901
01.01.2024;12:15:00;1.950
01.01.2024;12:30:00;1.958
01.01.2024;12:45:00;1.956
01.01.2024;13:00:00;1.944
01.01.2024;13:15:00;1.922
01.01.2024;13:30:00;1.892
01.01.2024;13:45:00;1.854
01.01.2024;14:00:00;1.811
01.01.2024;14:15:00;1.765
01.01.2024;14:30:00;1.717
01.01.2024;14:45:00;1.671
01.01.2024;15:00:00;1.628
01.01.2024;15:15:00;1.591
01.01.2024;15:30:00;1.559
01.01.2024;15:45:00;1.529
01.01.2024;16:00:00;1.508
01.01.2024;16:15:00;1.480
01.01.2024;16:30:00;1.485
01.01.2024;16:45:00;1.471
01.01.2024;17:00:00;1.515
01.01.2024;17:15:00;1.600
01.01.2024;17:30:00;1.714
01.01.2024;17:45:00;1.833
01.01.2024;18:00:00;1.936
01.01.2024;18:15:00;2.035
01.01.2024;18:30:00;2.081
01.01.2024;18:45:00;2.107
01.01.2024;19:00:00;2.130
01.01.2024;19:15:00;2.153
01.01.2024;19:30:00;2.173
01.01.2024;19:45:00;2.182
