Netzbetreiber:;;Energienetze Berlin GmbH;;;;
Lastgangtyp:;;Entnahme aus dem vorgelagerten Verteilungsnetz;;;;
gesetzliche Grundlage:;;§ 23c Abs.3 Nr. 5 EnWG;;;;
Betrachtungszeitraum:;;01.01.2024 bis 31.12.2024;;;;
;;;;;;
Spannungsebene der Entnahme;;Hochspannung;Mittelspannung;Niederspannung;;
Höchstlast;[kW];20.240;1.353;153,7;;
Wirkarbeit;[kWh];34.847.835;6.056.038;454.794;;
;;;;;;
Datum;Zeit;Wert [kW];Wert [kW];Wert [kW];;
01.01.2024;00:15:00;0;465;27;;
01.01.2024;00:30:00;0;451;28;;
01.01.2024;00:45:00;0;465;27;;
01.01.2024;01:00:00;0;460;27;;
01.01.2024;01:15:00;0;451;28;;
01.01.2024;01:30:00;0;456;28;;
01.01.2024;01:45:00;0;465;26;;
01.01.2024;02:00:00;0;460;28;;
01.01.2024;02:15:00;0;466;28;;
01.01.2024;02:30:00;0;480;26;;
01.01.2024;02:45:00;0;480;27;;
01.01.2024;03:00:00;0;485;25;;
01.01.2024;03:15:00;0;526;26;;
01.01.2024;03:30:00;0;530;29;;
01.01.2024;03:45:00;0;535;26;;
01.01.2024;04:00:00;0;535;25;;
01.01.2024;04:15:00;0;590;26;;
01.01.2024;04:30:00;0;575;28;;
01.01.2024;04:45:00;0;555;30;;
01.01.2024;05:00:00;0;576;28;;
01.01.2024;05:15:00;0;570;27;;
01.01.2024;05:30:00;0;555;24;;
01.01.2024;05:45:00;44;555;25;;
01.01.2024;06:00:00;0;550;25;;
01.01.2024;06:15:00;88;540;28;;
01.01.2024;06:30:00;220;540;44;;
01.01.2024;06:45:00;198;496;41;;
01.01.2024;07:00:00;220;495;43;;
01.01.2024;07:15:00;176;495;45;;
01.01.2024;07:30:00;286;485;44;;
01.01.2024;07:45:00;352;491;44;;
01.01.2024;08:00:00;308;505;45;;
01.01.2024;08:15:00;264;503;48;;
01.01.2024;08:30:00;154;505;50;;
01.01.2024;08:45:00;132;515;52;;
01.01.2024;09:00:00;0;500;50;;
01.01.2024;09:15:00;44;515;52;;
01.01.2024;09:30:00;22;516;52;;
01.01.2024;09:45:00;0;495;53;;
01.01.2024;10:00:00;0;515;53;;
01.01.2024;10:15:00;44;504;56;;
01.01.2024;10:30:00;22;505;70;;
01.01.2024;10:45:00;198;509;73;;
01.01.2024;11:00:00;220;504;70;;
01.01.2024;11:15:00;264;504;75;;
01.01.2024;11:30:00;176;509;71;;
01.01.2024;11:45:00;264;514;58;;
01.01.2024;12:00:00;264;509;59;;
01.01.2024;12:15:00;242;504;62;;
01.01.2024;12:30:00;220;504;74;;
01.01.2024;12:45:00;286;504;67;;
01.01.2024;13:00:00;154;504;64;;
01.01.2024;13:15:00;330;509;67;;
01.01.2024;13:30:00;242;504;77;;
01.01.2024;13:45:00;176;504;82;;
01.01.2024;14:00:00;176;510;77;;
01.01.2024;14:15:00;286;514;71;;
01.01.2024;14:30:00;176;495;65;;
01.01.2024;14:45:00;286;490;68;;
01.01.2024;15:00:00;242;496;66;;
01.01.2024;15:15:00;242;496;62;;
01.01.2024;15:30:00;308;505;64;;
01.01.2024;15:45:00;308;501;61;;
01.01.2024;16:00:00;264;512;62;;
01.01.2024;16:15:00;462;511;74;;
01.01.2024;16:30:00;528;511;81;;
01.01.2024;16:45:00;528;516;77;;
01.01.2024;17:00:00;242;511;83;;
01.01.2024;17:15:00;308;515;88;;
01.01.2024;17:30:00;352;502;92;;
01.01.2024;17:45:00;220;506;86;;
01.01.2024;18:00:00;264;513;84;;
01.01.2024;18:15:00;110;502;83;;
01.01.2024;18:30:00;132;505;93;;
01.01.2024;18:45:00;110;499;88;;
01.01.2024;19:00:00;220;499;84;;
01.01.2024;19:15:00;154;490;91;;
01.01.2024;19:30:00;44;488;88;;
01.01.2024;19:45:00;22;473;81;;
01.01.2024;20:00:00;22;477;87;;
01.01.2024;20:15:00;0;476;92;;
01.01.2024;20:30:00;0;481;78;;
01.01.2024;20:45:00;0;471;76;;
01.01.2024;21:00:00;0;466;76;;
01.01.2024;21:15:00;0;481;72;;
01.01.2024;21:30:00;0;472;70;;
01.01.2024;21:45:00;0;476;72;;
01.01.2024;22:00:00;0;486;67;;
01.01.2024;22:15:00;0;506;63;;
01.01.2024;22:30:00;0;531;62;;
01.01.2024;22:45:00;0;541;56;;
01.01.2024;23:00:00;0;525;47;;
01.01.2024;23:15:00;0;516;47;;
01.01.2024;23:30:00;0;521;45;;
01.01.2024;23:45:00;0;510;43;;
02.01.2024;00:00:00;0;506;45;;
02.01.2024;00:15:00;0;516;41;;
02.01.2024;00:30:00;0;520;39;;
02.01.2024;00:45:00;0;510;40;;
02.01.2024;01:00:00;0;506;35;;
02.01.2024;01:15:00;0;525;32;;
02.01.2024;01:30:00;0;530;32;;
02.01.2024;01:45:00;0;520;36;;
02.01.2024;02:00:00;0;506;32;;
02.01.2024;02:15:00;0;520;28;;
02.01.2024;02:30:00;0;535;29;;
02.01.2024;02:45:00;0;530;31;;
02.01.2024;03:00:00;0;530;29;;
02.01.2024;03:15:00;0;600;31;;
02.01.2024;03:30:00;0;590;33;;
