Netzbetreiber:;;Energienetze Berlin GmbH;;;;;;;;;;
Lastgangtyp:;;Einspeisungen aus Erzeugungsanlagen;;;;;;;;;;
gesetzliche Grundlage:;;§ 23c Abs.3 Nr.6 EnWG;;;;;;;;;;
Betrachtungszeitraum:;;01.01.2024 bis 31.12.2024;;;;;;;;;;
;;;;;;;;;;;;
Spannungsebene der Einspeisung;;Mittelspannung;Niederspannung;;;;;;;;;
max. Leistung;[kW];35.110;1.633;;;;;;;;;
Wirkarbeit;[kWh];117.519.930;4.030.032;;;;;;;;;
;;;;;;;;;;;;
Datum;Zeit;Wert [kW];Wert [kW];;;;;;;;; 
01.01.2024;00:15:00;7.560;298;;;;;;;;; 
01.01.2024;00:30:00;7.416;298;;;;;;;;; 
01.01.2024;00:45:00;7.560;298;;;;;;;;; 
01.01.2024;01:00:00;7.488;298;;;;;;;;; 
01.01.2024;01:15:00;7.560;298;;;;;;;;; 
01.01.2024;01:30:00;7.488;298;;;;;;;;; 
01.01.2024;01:45:00;7.560;298;;;;;;;;; 
01.01.2024;02:00:00;7.488;297;;;;;;;;; 
01.01.2024;02:15:00;7.488;298;;;;;;;;; 
01.01.2024;02:30:00;7.488;293;;;;;;;;; 
01.01.2024;02:45:00;7.488;288;;;;;;;;; 
01.01.2024;03:00:00;7.560;288;;;;;;;;; 
01.01.2024;03:15:00;7.488;288;;;;;;;;; 
01.01.2024;03:30:00;7.488;288;;;;;;;;; 
01.01.2024;03:45:00;7.560;287;;;;;;;;; 
01.01.2024;04:00:00;7.560;288;;;;;;;;; 
01.01.2024;04:15:00;7.488;288;;;;;;;;; 
01.01.2024;04:30:00;7.488;288;;;;;;;;; 
01.01.2024;04:45:00;7.560;288;;;;;;;;; 
01.01.2024;05:00:00;7.488;288;;;;;;;;; 
01.01.2024;05:15:00;7.560;288;;;;;;;;; 
01.01.2024;05:30:00;7.488;288;;;;;;;;; 
01.01.2024;05:45:00;7.560;288;;;;;;;;; 
01.01.2024;06:00:00;7.488;288;;;;;;;;; 
01.01.2024;06:15:00;7.488;280;;;;;;;;; 
01.01.2024;06:30:00;7.488;236;;;;;;;;; 
01.01.2024;06:45:00;7.560;237;;;;;;;;; 
01.01.2024;07:00:00;7.488;237;;;;;;;;; 
01.01.2024;07:15:00;7.560;236;;;;;;;;; 
01.01.2024;07:30:00;7.488;237;;;;;;;;; 
01.01.2024;07:45:00;7.560;237;;;;;;;;; 
01.01.2024;08:00:00;7.488;236;;;;;;;;; 
01.01.2024;08:15:00;7.560;236;;;;;;;;; 
01.01.2024;08:30:00;7.560;237;;;;;;;;; 
01.01.2024;08:45:00;7.488;244;;;;;;;;; 
01.01.2024;09:00:00;7.561;259;;;;;;;;; 
01.01.2024;09:15:00;7.561;271;;;;;;;;; 
01.01.2024;09:30:00;7.490;303;;;;;;;;; 
01.01.2024;09:45:00;7.562;312;;;;;;;;; 
01.01.2024;10:00:00;7.491;329;;;;;;;;; 
01.01.2024;10:15:00;7.564;384;;;;;;;;; 
01.01.2024;10:30:00;7.491;357;;;;;;;;; 
01.01.2024;10:45:00;7.562;300;;;;;;;;; 
01.01.2024;11:00:00;7.561;279;;;;;;;;; 
01.01.2024;11:15:00;7.489;270;;;;;;;;; 
01.01.2024;11:30:00;7.562;302;;;;;;;;; 
01.01.2024;11:45:00;7.489;305;;;;;;;;; 
01.01.2024;12:00:00;7.561;278;;;;;;;;; 
01.01.2024;12:15:00;7.561;277;;;;;;;;; 
01.01.2024;12:30:00;7.489;285;;;;;;;;; 
01.01.2024;12:45:00;7.561;295;;;;;;;;; 
01.01.2024;13:00:00;7.561;281;;;;;;;;; 
01.01.2024;13:15:00;7.489;293;;;;;;;;; 
01.01.2024;13:30:00;7.562;305;;;;;;;;; 
01.01.2024;13:45:00;7.561;301;;;;;;;;; 
01.01.2024;14:00:00;7.489;296;;;;;;;;; 
01.01.2024;14:15:00;7.561;288;;;;;;;;; 
01.01.2024;14:30:00;7.561;277;;;;;;;;; 
01.01.2024;14:45:00;7.560;265;;;;;;;;; 
01.01.2024;15:00:00;7.561;269;;;;;;;;; 
01.01.2024;15:15:00;7.489;271;;;;;;;;; 
